t,d1,d2,d3
0.150,0.007,0.047,0.052
0.152,-0.006,0.040,0.047
0.153,-0.019,0.034,0.045
0.155,-0.024,0.031,0.041
0.157,-0.023,0.027,0.034
0.158,-0.020,0.018,0.023
0.160,-0.014,0.005,0.010
0.162,-0.007,-0.005,-0.002
0.163,-0.004,-0.013,-0.011
0.165,-0.003,-0.019,-0.018
0.167,-0.002,-0.021,-0.016
0.168,-0.001,-0.019,-0.015
0.170,-0.001,-0.011,-0.011
0.172,-0.003,-0.002,-0.007
0.173,-0.003,0.002,-0.004
0.175,-0.007,0.007,-0.001
0.177,-0.016,0.012,0.002
0.178,-0.030,0.015,0.006
0.180,-0.043,0.012,0.004
0.182,-0.055,0.006,-0.002
0.183,-0.068,-0.001,-0.010
0.185,-0.079,-0.013,-0.021
0.187,-0.087,-0.030,-0.037
0.188,-0.094,-0.046,-0.053
0.190,-0.103,-0.061,-0.066
0.192,-0.107,-0.074,-0.078
0.193,-0.104,-0.088,-0.091
0.195,-0.093,-0.100,-0.103
0.197,-0.082,-0.106,-0.107
0.198,-0.071,-0.109,-0.111
0.200,-0.056,-0.107,-0.111
0.202,-0.039,-0.102,-0.106
0.203,-0.024,-0.090,-0.094
0.205,-0.015,-0.077,-0.081
0.207,-0.004,-0.065,-0.069
0.208,0.008,-0.048,-0.051
0.210,0.015,-0.029,-0.030
0.212,0.019,-0.010,-0.011
0.213,0.021,0.005,0.004
0.215,0.024,0.023,0.019
0.217,0.024,0.038,0.030
0.218,0.025,0.047,0.031
0.220,0.026,0.050,0.033
0.222,0.025,0.052,0.039
0.223,0.025,0.052,0.046
0.225,0.028,0.050,0.049
0.227,0.031,0.048,0.051
0.228,0.031,0.048,0.055
0.230,0.027,0.050,0.059
0.232,0.025,0.050,0.055
0.233,0.024,0.053,0.051
0.235,0.018,0.060,0.052
0.237,0.011,0.065,0.053
0.238,0.008,0.065,0.055
0.240,0.009,0.065,0.051
0.242,0.007,0.068,0.049
0.243,0.005,0.066,0.042
0.245,0.005,0.059,0.034
0.247,0.004,0.052,0.026
0.248,0.004,0.049,0.018
0.250,0.001,0.043,0.014
0.252,-0.003,0.033,0.012
0.253,-0.008,0.026,0.014
0.255,-0.011,0.022,0.019
0.257,-0.011,0.018,0.023
0.258,-0.010,0.012,0.024
0.260,-0.006,0.006,0.020
0.262,-0.001,0.003,0.014
0.263,0.005,-0.001,0.012
0.265,0.011,-0.003,0.008
0.267,0.012,-0.001,0.004
0.268,0.005,0.005,0.007
0.270,-0.002,0.015,0.015
0.272,-0.006,0.024,0.022
0.273,-0.009,0.032,0.024
0.275,-0.013,0.034,0.026
0.277,-0.019,0.033,0.021
0.278,-0.021,0.025,0.012
0.280,-0.021,0.013,0.004
0.282,-0.026,0.003,-0.002
0.283,-0.036,-0.005,-0.009
0.285,-0.044,-0.012,-0.014
0.287,-0.045,-0.020,-0.016
0.288,-0.044,-0.022,-0.017
0.290,-0.045,-0.021,-0.022
0.292,-0.038,-0.024,-0.030
0.293,-0.028,-0.027,-0.036
0.295,-0.021,-0.029,-0.041
0.297,-0.017,-0.029,-0.039
0.298,-0.012,-0.027,-0.037
0.300,-0.007,-0.021,-0.029
0.302,-0.004,-0.013,-0.017
0.303,-0.003,-0.005,-0.005
0.305,-0.001,0.003,0.005
0.307,0.001,0.011,0.009
0.308,0.003,0.014,0.016
0.310,0.003,0.014,0.016
0.312,0.001,0.013,0.012
0.313,-0.001,0.012,0.009
0.315,-0.004,0.011,0.009
0.317,-0.005,0.011,0.009
0.318,-0.005,0.012,0.007
0.320,-0.005,0.014,0.005
0.322,0.000,0.013,0.003
0.323,0.009,0.013,0.001
0.325,0.019,0.014,0.001
0.327,0.024,0.017,0.003
0.328,0.031,0.022,0.007
0.330,0.039,0.031,0.015
0.332,0.046,0.042,0.026
0.333,0.051,0.053,0.038
0.335,0.051,0.062,0.049
0.337,0.052,0.069,0.058
0.338,0.051,0.074,0.069
0.340,0.049,0.077,0.078
0.342,0.042,0.080,0.087
0.343,0.038,0.084,0.089
0.345,0.038,0.088,0.088
0.347,0.037,0.086,0.084
0.348,0.033,0.083,0.079
0.350,0.031,0.081,0.071
0.352,0.034,0.078,0.063
0.353,0.035,0.078,0.060
0.355,0.035,0.078,0.060
0.357,0.036,0.077,0.059
0.358,0.040,0.076,0.060
0.360,0.043,0.074,0.062
0.362,0.048,0.072,0.067
0.363,0.051,0.069,0.074
0.365,0.055,0.070,0.079
0.367,0.059,0.076,0.088
0.368,0.063,0.083,0.095
0.370,0.065,0.091,0.103
0.372,0.066,0.097,0.115
0.373,0.071,0.104,0.126
0.375,0.074,0.113,0.140
0.377,0.076,0.125,0.159
0.378,0.078,0.143,0.194
0.380,0.082,0.163,0.238
0.382,0.081,0.184,0.282
0.383,0.080,0.206,0.333
0.385,0.077,0.228,0.393
0.387,0.078,0.246,0.458
0.388,0.082,0.261,0.522
0.390,0.088,0.278,0.586
0.392,0.100,0.297,0.661
0.393,0.116,0.319,0.743
0.395,0.138,0.346,0.836
0.397,0.165,0.379,0.935
0.398,0.191,0.418,1.042
0.400,0.218,0.463,1.157
0.402,0.245,0.515,1.282
0.403,0.272,0.572,1.415
0.405,0.296,0.634,1.554
0.407,0.319,0.702,1.704
0.408,0.343,0.775,1.863
0.410,0.371,0.852,2.027
0.412,0.401,0.935,2.193
0.413,0.432,1.017,2.367
0.415,0.473,1.103,2.541
0.417,0.517,1.192,2.714
0.418,0.564,1.286,2.885
0.420,0.613,1.379,3.063
0.422,0.666,1.474,3.249
0.423,0.725,1.578,3.442
0.425,0.788,1.689,3.641
0.427,0.854,1.805,3.849
0.428,0.926,1.923,4.067
0.430,1.011,2.048,4.296
0.432,1.109,2.181,4.539
0.433,1.216,2.327,4.799
0.435,1.331,2.484,5.077
0.437,1.463,2.656,5.378
0.438,1.608,2.849,5.707
0.440,1.768,3.061,6.060
0.442,1.944,3.293,6.436
0.443,2.143,3.541,6.836
0.445,2.372,3.812,7.273
0.447,2.632,4.110,7.753
0.448,2.927,4.441,8.280
0.450,3.259,4.807,8.856
0.452,3.638,5.215,9.494
0.453,4.070,5.671,10.203
0.455,4.560,6.177,10.983
0.457,5.116,6.739,11.838
0.458,5.750,7.361,12.778
0.460,6.477,8.054,13.818
0.462,7.307,8.822,14.962
0.463,8.252,9.676,16.225
0.465,9.325,10.626,17.620
0.467,10.542,11.684,19.167
0.468,11.921,12.864,20.880
0.470,13.480,14.175,22.776
0.472,15.234,15.634,24.873
0.473,17.204,17.254,27.194
0.475,19.409,19.051,29.758
0.477,21.864,21.041,32.587
0.478,24.580,23.243,35.704
0.480,27.564,25.682,39.139
0.482,30.836,28.379,42.916
0.483,34.406,31.355,47.065
0.485,38.291,34.632,51.608
0.487,42.499,38.226,56.567
0.488,47.039,42.160,61.967
0.490,51.930,46.460,67.839
0.492,57.178,51.147,74.216
0.493,62.787,56.249,81.129
0.495,68.758,61.796,88.610
0.497,75.114,67.820,96.697
0.498,81.865,74.344,105.423
0.500,89.013,81.391,114.815
0.502,96.563,88.993,124.907
0.503,104.533,97.177,135.726
0.505,112.932,105.973,147.314
0.507,121.760,115.412,159.703
0.508,131.023,125.519,172.928
0.510,140.734,136.325,187.026
0.512,150.898,147.858,202.027
0.513,161.506,160.144,217.966
0.515,172.558,173.210,234.868
0.517,184.052,187.078,252.767
0.518,195.981,201.767,271.688
0.520,208.335,217.296,291.649
0.522,221.100,233.678,312.670
0.523,234.267,250.917,334.764
0.525,247.830,269.020,357.936
0.527,261.786,287.989,382.190
0.528,276.136,307.821,407.528
0.530,290.874,328.497,433.936
0.532,306.003,349.995,461.396
0.533,321.524,372.314,489.909
0.535,337.430,395.452,519.488
0.537,353.708,419.408,550.137
0.538,370.361,444.189,581.875
0.540,387.397,469.799,614.736
0.542,404.827,496.253,648.730
0.543,422.643,523.542,683.878
0.545,440.847,551.663,720.169
0.547,459.421,580.612,757.634
0.548,478.342,610.397,796.284
0.550,497.580,641.023,836.119
0.552,517.088,672.483,877.163
0.553,536.830,704.799,919.440
0.555,556.754,737.963,962.966
0.557,576.814,771.949,1007.669
0.558,596.932,806.714,1053.481
0.560,617.030,842.225,1100.368
0.562,637.062,878.433,1148.240
0.563,656.961,915.260,1196.991
0.565,676.662,952.610,1246.443
0.567,696.081,990.398,1296.431
0.568,715.158,1028.527,1346.875
0.570,733.843,1066.896,1397.622
0.572,752.085,1105.391,1448.535
0.573,769.850,1143.853,1499.310
0.575,787.122,1182.167,1549.766
0.577,803.922,1220.170,1599.847
0.578,820.288,1257.736,1649.078
0.580,836.286,1294.809,1697.438
0.582,851.999,1331.301,1744.685
0.583,867.644,1367.147,1790.703
0.585,883.625,1402.278,1835.538
0.587,900.631,1436.820,1879.193
0.588,919.622,1470.842,1921.877
0.590,941.839,1504.393,1963.427
0.592,968.687,1537.794,2004.334
0.593,1001.368,1571.833,2045.605
0.595,1040.580,1607.730,2088.014
0.597,1086.256,1647.131,2133.025
0.598,1137.492,1692.224,2182.567
0.600,1192.550,1745.439,2238.769
0.602,1249.021,1808.679,2302.123
0.603,1304.293,1882.908,2370.896
0.605,1355.872,1967.566,2443.324
0.607,1401.757,2060.489,2516.124
0.608,1440.600,2158.418,2586.360
0.610,1471.814,2256.625,2649.339
0.612,1495.438,2350.380,2700.814
0.613,1512.017,2435.484,2742.659
0.615,1522.285,2509.160,2774.630
0.617,1527.133,2570.457,2798.009
0.618,1527.243,2618.291,2813.776
0.620,1523.093,2653.290,2823.784
0.622,1514.937,2677.094,2832.547
0.623,1502.784,2692.503,2837.747
0.625,1486.680,2700.327,2840.653
0.627,1466.627,2700.330,2841.438
0.628,1442.924,2693.946,2839.298
0.630,1415.982,2682.292,2835.744
0.632,1386.448,2665.104,2829.433
0.633,1355.142,2641.189,2821.391
0.635,1322.963,2610.916,2811.686
0.637,1290.709,2575.104,2799.918
0.638,1258.933,2534.161,2786.612
0.640,1227.986,2488.243,2770.049
0.642,1198.027,2438.530,2750.245
0.643,1168.985,2386.506,2728.046
0.645,1140.676,2333.566,2702.432
0.647,1112.861,2280.661,2673.958
0.648,1085.356,2228.289,2642.816
0.650,1058.086,2176.836,2610.436
0.652,1031.044,2126.421,2576.402
0.653,1004.330,2076.506,2539.786
0.655,978.055,2026.755,2501.491
0.657,952.393,1977.134,2461.489
0.658,927.577,1927.699,2419.636
0.660,903.772,1878.639,2375.470
0.662,881.070,1830.027,2329.989
0.663,859.540,1782.161,2283.846
0.665,839.221,1735.376,2236.867
0.667,820.102,1690.048,2189.621
0.668,802.098,1646.450,2142.825
0.670,785.133,1604.730,2096.935
0.672,769.143,1565.146,2052.235
0.673,754.049,1527.745,2008.922
0.675,739.760,1492.524,1967.412
0.677,726.193,1459.369,1927.864
0.678,713.263,1428.094,1890.327
0.680,700.896,1398.609,1854.794
0.682,689.005,1370.750,1820.910
0.683,677.516,1344.405,1788.432
0.685,666.374,1319.421,1757.491
0.687,655.529,1295.643,1727.793
0.688,644.941,1272.909,1699.265
0.690,634.560,1251.063,1671.509
0.692,624.368,1229.965,1644.520
0.693,614.356,1209.521,1618.348
0.695,604.527,1189.651,1592.854
0.697,594.891,1170.253,1567.932
0.698,585.457,1151.231,1543.355
0.700,576.253,1132.576,1519.257
0.702,567.308,1114.282,1495.567
0.703,558.647,1096.328,1472.206
0.705,550.309,1078.702,1449.229
0.707,542.326,1061.456,1426.691
0.708,534.741,1044.668,1404.735
0.710,527.583,1028.371,1383.417
0.712,520.894,1012.605,1362.759
0.713,514.707,997.426,1342.943
0.715,509.050,982.893,1323.998
0.717,503.961,969.064,1306.016
0.718,499.477,956.010,1289.015
0.720,495.650,943.787,1273.110
0.722,492.506,932.446,1258.440
0.723,490.099,922.057,1245.016
0.725,488.504,912.682,1232.874
0.727,487.797,904.377,1222.144
0.728,488.065,897.194,1212.948
0.730,489.422,891.223,1205.425
0.732,492.013,886.554,1199.646
0.733,496.007,883.301,1195.772
0.735,501.556,881.609,1194.052
0.737,508.835,881.655,1194.678
0.738,517.972,883.631,1197.948
0.740,529.024,887.785,1204.180
0.742,541.994,894.407,1213.716
0.743,556.761,903.768,1226.911
0.745,573.118,916.147,1244.128
0.747,590.740,931.775,1265.684
0.748,609.245,950.768,1291.685
0.750,628.263,973.042,1322.021
0.752,647.404,998.357,1356.457
0.753,666.354,1026.303,1394.296
0.755,684.833,1056.271,1434.746
0.757,702.635,1087.486,1476.841
0.758,719.652,1119.177,1519.505
0.760,735.800,1150.624,1561.840
0.762,751.028,1181.189,1602.880
0.763,765.276,1210.310,1642.052
0.765,778.485,1237.564,1678.854
0.767,790.619,1262.714,1713.024
0.768,801.619,1285.644,1744.523
0.770,811.397,1306.262,1772.985
0.772,819.871,1324.532,1798.548
0.773,826.934,1340.424,1821.370
0.775,832.500,1353.959,1841.390
0.777,836.472,1365.210,1858.603
0.778,838.804,1374.188,1872.786
0.780,839.468,1380.950,1884.207
0.782,838.460,1385.494,1892.677
0.783,835.835,1387.928,1898.180
0.785,831.689,1388.305,1901.004
0.787,826.173,1386.661,1901.009
0.788,819.414,1383.090,1898.241
0.790,811.578,1377.690,1892.770
0.792,802.849,1370.612,1884.891
0.793,793.416,1361.995,1874.698
0.795,783.464,1352.081,1862.127
0.797,773.134,1341.072,1847.517
0.798,762.553,1329.158,1831.421
0.800,751.838,1316.566,1814.020
0.802,741.091,1303.517,1795.616
0.803,730.387,1290.221,1776.376
0.805,719.771,1276.788,1756.708
0.807,709.285,1263.358,1736.856
0.808,698.984,1250.026,1716.787
0.810,688.890,1236.860,1696.715
0.812,679.005,1223.880,1676.612
0.813,669.336,1211.079,1656.731
0.815,659.894,1198.483,1637.062
0.817,650.684,1186.079,1617.592
0.818,641.696,1173.851,1598.483
0.820,632.939,1161.734,1579.655
0.822,624.417,1149.719,1561.202
0.823,616.132,1137.783,1543.047
0.825,608.101,1125.915,1525.128
0.827,600.334,1114.087,1507.414
0.828,592.821,1102.287,1489.754
0.830,585.583,1090.529,1472.333
0.832,578.613,1078.808,1455.181
0.833,571.921,1067.142,1438.279
0.835,565.493,1055.523,1421.560
0.837,559.336,1043.977,1405.003
0.838,553.453,1032.555,1388.849
0.840,547.826,1021.266,1372.943
0.842,542.454,1010.136,1357.224
0.843,537.324,999.186,1341.723
0.845,532.416,988.458,1326.556
0.847,527.695,977.961,1311.806
0.848,523.146,967.695,1297.398
0.850,518.743,957.692,1283.396
0.852,514.458,947.958,1269.793
0.853,510.267,938.489,1256.506
0.855,506.159,929.275,1243.485
0.857,502.118,920.320,1230.783
0.858,498.112,911.605,1218.348
0.860,494.116,903.121,1206.178
0.862,490.108,894.860,1194.270
0.863,486.080,886.823,1182.720
0.865,482.009,878.994,1171.516
0.867,477.885,871.363,1160.575
0.868,473.706,863.918,1149.898
0.870,469.470,856.647,1139.441
0.872,465.184,849.553,1129.188
0.873,460.829,842.614,1119.063
0.875,456.422,835.822,1109.097
0.877,451.964,829.173,1099.320
0.878,447.466,822.654,1089.700
0.880,442.929,816.278,1080.239
0.882,438.364,810.007,1070.941
0.883,433.793,803.832,1061.812
0.885,429.225,797.758,1052.827
0.887,424.674,791.769,1043.956
0.888,420.144,785.852,1035.193
0.890,415.652,779.990,1026.546
0.892,411.212,774.176,1018.005
0.893,406.832,768.411,1009.578
0.895,402.513,762.671,1001.231
0.897,398.265,756.964,992.994
0.898,394.097,751.282,984.878
0.900,390.023,745.617,976.861
0.902,386.040,739.973,968.940
0.903,382.152,734.339,961.087
0.905,378.358,728.723,953.338
0.907,374.668,723.109,945.671
0.908,371.077,717.502,938.092
0.910,367.584,711.903,930.620
0.912,364.192,706.326,923.264
0.913,360.900,700.778,916.047
0.915,357.704,695.260,908.976
0.917,354.601,689.786,902.056
0.918,351.584,684.367,895.322
0.920,348.660,679.022,888.786
0.922,345.828,673.777,882.473
0.923,343.080,668.632,876.390
0.925,340.407,663.602,870.562
0.927,337.800,658.710,865.018
0.928,335.263,653.980,859.773
0.930,332.773,649.423,854.847
0.932,330.320,645.044,850.253
0.933,327.903,640.869,846.012
0.935,325.526,636.902,842.132
0.937,323.171,633.157,838.601
0.938,320.830,629.644,835.414
0.940,318.498,626.363,832.560
0.942,316.176,623.300,830.019
0.943,313.857,620.458,827.799
0.945,311.532,617.826,825.837
0.947,309.211,615.377,824.117
0.948,306.884,613.081,822.584
0.950,304.554,610.918,821.186
0.952,302.224,608.880,819.882
0.953,299.893,606.934,818.589
0.955,297.565,605.060,817.293
0.957,295.242,603.229,815.929
0.958,292.935,601.420,814.457
0.960,290.649,599.606,812.849
0.962,288.383,597.761,811.057
0.963,286.136,595.868,809.044
0.965,283.913,593.903,806.771
0.967,281.717,591.851,804.211
0.968,279.557,589.703,801.345
0.970,277.431,587.445,798.166
0.972,275.348,585.062,794.674
0.973,273.308,582.548,790.876
0.975,271.327,579.896,786.737
0.977,269.414,577.114,782.288
0.978,267.562,574.201,777.545
0.980,265.775,571.162,772.535
0.982,264.051,568.006,767.260
0.983,262.392,564.742,761.753
0.985,260.786,561.387,756.078
0.987,259.235,557.938,750.252
0.988,257.745,554.405,744.296
0.990,256.306,550.801,738.217
0.992,254.914,547.140,732.047
0.993,253.574,543.425,725.802
0.995,252.285,539.660,719.500
0.997,251.040,535.860,713.147
0.998,249.833,532.028,706.760
1.000,248.671,528.172,700.348
1.002,247.557,524.291,693.950
1.003,246.491,520.396,687.564
1.005,245.474,516.493,681.188
1.007,244.512,512.586,674.843
1.008,243.608,508.679,668.548
1.010,242.766,504.776,662.303
1.012,241.993,500.879,656.102
1.013,241.292,496.987,649.954
1.015,240.658,493.110,643.885
1.017,240.089,489.257,637.887
1.018,239.595,485.433,631.962
1.020,239.169,481.640,626.122
1.022,238.802,477.878,620.356
1.023,238.486,474.149,614.667
1.025,238.215,470.454,609.057
1.027,237.983,466.795,603.540
1.028,237.765,463.167,598.098
1.030,237.555,459.563,592.735
1.032,237.338,455.995,587.460
1.033,237.101,452.457,582.265
1.035,236.834,448.942,577.150
1.037,236.516,445.429,572.077
1.038,236.149,441.922,567.047
1.040,235.710,438.414,562.050
1.042,235.185,434.896,557.073
1.043,234.566,431.357,552.107
1.045,233.848,427.795,547.134
1.047,233.027,424.214,542.163
1.048,232.097,420.607,537.207
1.050,231.055,416.965,532.236
1.052,229.903,413.281,527.251
1.053,228.646,409.563,522.243
1.055,227.289,405.809,517.227
1.057,225.827,402.015,512.202
1.058,224.266,398.180,507.153
1.060,222.617,394.317,502.095
1.062,220.886,390.432,497.046
1.063,219.074,386.528,492.007
1.065,217.186,382.605,486.979
1.067,215.244,378.671,481.967
1.068,213.250,374.742,476.991
1.070,211.207,370.819,472.055
1.072,209.131,366.913,467.164
1.073,207.030,363.037,462.335
1.075,204.913,359.202,457.580
1.077,202.782,355.415,452.914
1.078,200.648,351.679,448.339
1.080,198.523,348.008,443.862
1.082,196.410,344.407,439.490
1.083,194.315,340.882,435.225
1.085,192.242,337.442,431.071
1.087,190.195,334.096,427.038
1.088,188.179,330.861,423.139
1.090,186.195,327.741,419.387
1.092,184.256,324.747,415.772
1.093,182.362,321.888,412.315
1.095,180.519,319.179,409.028
1.097,178.734,316.641,405.914
1.098,177.014,314.292,402.983
1.100,175.363,312.162,400.251
1.102,173.782,310.277,397.762
1.103,172.280,308.684,395.530
1.105,170.862,307.436,393.594
1.107,169.534,306.590,392.001
1.108,168.303,306.207,390.797
1.110,167.182,306.360,390.035
1.112,166.177,307.141,389.775
1.113,165.298,308.642,390.093
1.115,164.556,310.959,391.064
1.117,163.952,314.199,392.761
1.118,163.493,318.472,395.268
1.120,163.182,323.884,398.668
1.122,163.024,330.525,403.026
1.123,163.020,338.487,408.413
1.125,163.168,347.859,414.886
1.127,163.469,358.713,422.503
1.128,163.914,371.103,431.316
1.130,164.501,385.077,441.355
1.132,165.229,400.675,452.651
1.133,166.090,417.889,465.196
1.135,167.078,436.689,478.978
1.137,168.187,457.026,493.965
1.138,169.411,478.855,510.121
1.140,170.730,502.108,527.397
1.142,172.135,526.682,545.724
1.143,173.615,552.480,565.035
1.145,175.156,579.376,585.252
1.147,176.740,607.225,606.274
1.148,178.357,635.854,627.973
1.150,179.998,665.065,650.212
1.152,181.643,694.667,672.877
1.153,183.279,724.458,695.838
1.155,184.890,754.231,718.933
1.157,186.460,783.779,742.045
1.158,187.977,812.862,765.032
1.160,189.429,841.250,787.764
1.162,190.809,868.715,810.097
1.163,192.098,895.031,831.889
1.165,193.291,919.957,853.020
1.167,194.387,943.259,873.330
1.168,195.382,964.747,892.713
1.170,196.266,984.239,911.072
1.172,197.035,1001.575,928.318
1.173,197.689,1016.604,944.392
1.175,198.229,1029.237,959.232
1.177,198.656,1039.405,972.828
1.178,198.966,1047.044,985.139
1.180,199.169,1052.115,996.133
1.182,199.265,1054.638,1005.838
1.183,199.266,1054.659,1014.245
1.185,199.174,1052.233,1021.386
1.187,198.993,1047.441,1027.279
1.188,198.726,1040.431,1031.999
1.190,198.379,1031.380,1035.646
1.192,197.956,1020.453,1038.228
1.193,197.453,1007.833,1039.813
1.195,196.879,993.724,1040.475
1.197,196.238,978.357,1040.286
1.198,195.536,961.937,1039.299
1.200,194.761,944.658,1037.513
1.202,193.924,926.703,1034.980
1.203,193.028,908.262,1031.737
1.205,192.070,889.512,1027.799
1.207,191.050,870.602,1023.177
1.208,189.970,851.641,1017.836
1.210,188.838,832.763,1011.774
1.212,187.647,814.049,1005.009
1.213,186.407,795.570,997.526
1.215,185.123,777.378,989.305
1.217,183.798,759.507,980.309
1.218,182.440,741.982,970.547
1.220,181.061,724.794,960.042
1.222,179.675,707.955,948.774
1.223,178.288,691.465,936.777
1.225,176.912,675.316,924.057
1.227,175.566,659.494,910.686
1.228,174.263,644.018,896.702
1.230,173.018,628.893,882.168
1.232,171.844,614.114,867.149
1.233,170.754,599.669,851.680
1.235,169.761,585.564,835.842
1.237,168.876,571.803,819.704
1.238,168.116,558.377,803.360
1.240,167.493,545.297,786.886
1.242,167.016,532.561,770.326
1.243,166.695,520.182,753.778
1.245,166.540,508.165,737.328
1.247,166.550,496.519,721.035
1.248,166.713,485.249,704.971
1.250,167.024,474.351,689.177
1.252,167.471,463.841,673.737
1.253,168.040,453.721,658.693
1.255,168.713,443.985,644.084
1.257,169.471,434.635,629.941
1.258,170.299,425.671,616.296
1.260,171.175,417.086,603.176
1.262,172.076,408.869,590.590
1.263,172.975,401.000,578.535
1.265,173.845,393.466,567.005
1.267,174.666,386.245,555.992
1.268,175.417,379.315,545.473
1.270,176.076,372.663,535.439
1.272,176.630,366.269,525.872
1.273,177.071,360.117,516.750
1.275,177.384,354.188,508.058
1.277,177.564,348.463,499.769
1.278,177.600,342.925,491.855
1.280,177.483,337.559,484.271
1.282,177.205,332.353,476.991
1.283,176.765,327.289,469.995
1.285,176.170,322.363,463.248
1.287,175.421,317.556,456.722
1.288,174.526,312.854,450.389
1.290,173.501,308.243,444.231
1.292,172.360,303.713,438.222
1.293,171.121,299.259,432.332
1.295,169.802,294.872,426.547
1.297,168.415,290.552,420.848
1.298,166.965,286.297,415.227
1.300,165.473,282.107,409.674
1.302,163.950,277.983,404.181
1.303,162.402,273.924,398.752
1.305,160.838,269.933,393.374
1.307,159.273,266.009,388.045
1.308,157.719,262.152,382.752
1.310,156.182,258.362,377.501
1.312,154.668,254.639,372.289
1.313,153.187,250.984,367.107
1.315,151.741,247.396,361.969
1.317,150.333,243.872,356.882
1.318,148.971,240.421,351.848
1.320,147.653,237.049,346.864
1.322,146.382,233.755,341.934
1.323,145.155,230.539,337.065
1.325,143.975,227.402,332.257
1.327,142.838,224.352,327.516
1.328,141.739,221.385,322.853
1.330,140.677,218.496,318.265
1.332,139.647,215.689,313.755
1.333,138.644,212.968,309.331
1.335,137.664,210.328,305.002
1.337,136.707,207.772,300.772
1.338,135.771,205.299,296.632
1.340,134.853,202.909,292.590
1.342,133.951,200.601,288.650
1.343,133.064,198.372,284.815
1.345,132.185,196.229,281.075
1.347,131.310,194.167,277.431
1.348,130.433,192.189,273.896
1.350,129.553,190.290,270.478
1.352,128.670,188.470,267.175
1.353,127.783,186.724,263.982
1.355,126.885,185.050,260.903
1.357,125.976,183.447,257.941
1.358,125.058,181.905,255.088
1.360,124.133,180.428,252.340
1.362,123.195,179.014,249.698
1.363,122.245,177.662,247.159
1.365,121.287,176.363,244.720
1.367,120.318,175.119,242.378
1.368,119.342,173.938,240.139
1.370,118.353,172.816,237.998
1.372,117.354,171.748,235.950
1.373,116.343,170.732,233.994
1.375,115.323,169.772,232.131
1.377,114.301,168.863,230.356
1.378,113.270,168.001,228.662
1.380,112.232,167.182,227.044
1.382,111.191,166.405,225.499
1.383,110.149,165.661,224.024
1.385,109.111,164.950,222.611
1.387,108.074,164.270,221.260
1.388,107.048,163.621,219.968
